feature,mean_shap,rank,type
total_pitches,0.009730236,1,other
avg_speed_all,0.0069864253,2,avg (절대값)
std_speed_all,0.0026733698,3,std (변동성)
strike_ratio,0.0023825942,4,other
fastball_ratio,0.002160908,5,other
breaking_ratio,0.0020475998,6,other
offspeed_ratio,0.002045608,7,other
avg_pos_x,0.0020177208,8,avg (절대값)
avg_pos_z,0.0018285642,9,avg (절대값)
avg_ext,0.0017082905,10,avg (절대값)
avg_arm_angle,0.0015579357,11,avg (절대값)
avg_ext_Breaking,0.0014115236,12,avg (절대값)
avg_ext_Fastball,0.0014011137,13,avg (절대값)
avg_ext_Offspeed,0.0012676396,14,avg (절대값)
avg_pos_x_Breaking,0.0009697448,15,avg (절대값)
avg_pos_x_Fastball,0.0008798073,16,avg (절대값)
avg_pos_x_Offspeed,0.00087670574,17,avg (절대값)
avg_pos_z_Breaking,0.00084815477,18,avg (절대값)
avg_pos_z_Fastball,0.0008134162,19,avg (절대값)
avg_pos_z_Offspeed,0.0008116634,20,avg (절대값)
avg_speed_Breaking,0.0008076749,21,avg (절대값)
avg_speed_Fastball,0.0007667022,22,avg (절대값)
avg_speed_Offspeed,0.0007037086,23,avg (절대값)
avg_spin_Breaking,0.0006924013,24,avg (절대값)
avg_spin_Fastball,0.00067676354,25,avg (절대값)
avg_spin_Offspeed,0.00062643766,26,avg (절대값)
std_speed_Breaking,0.0005894196,27,std (변동성)
std_speed_Fastball,0.0005882854,28,std (변동성)
std_speed_Offspeed,0.00055673317,29,std (변동성)
prev_speed_Fastball,0.0005556248,30,prev (기준값)
prev_speed_Breaking,0.0005199871,31,prev (기준값)
prev_speed_Offspeed,0.000489793,32,prev (기준값)
prev_spin_Fastball,0.00047719016,33,prev (기준값)
prev_spin_Breaking,0.00045577832,34,prev (기준값)
prev_spin_Offspeed,0.0004538038,35,prev (기준값)
prev_ext_Fastball,0.00042447518,36,prev (기준값)
prev_ext_Breaking,0.00036397134,37,prev (기준값)
prev_ext_Offspeed,0.00035654145,38,prev (기준값)
prev_pos_x_Fastball,0.00034526153,39,prev (기준값)
prev_pos_x_Breaking,0.00034151296,40,prev (기준값)
prev_pos_x_Offspeed,0.00034151025,41,prev (기준값)
prev_pos_z_Fastball,0.0003369078,42,prev (기준값)
prev_pos_z_Breaking,0.00032374056,43,prev (기준값)
prev_pos_z_Offspeed,0.00032150804,44,prev (기준값)
delta_speed_Fastball,0.00032045445,45,delta (변화량)
delta_speed_Breaking,0.0003159531,46,delta (변화량)
delta_speed_Offspeed,0.00030518524,47,delta (변화량)
delta_spin_Fastball,0.00028622404,48,delta (변화량)
delta_spin_Breaking,0.00023731805,49,delta (변화량)
delta_spin_Offspeed,0.0002202802,50,delta (변화량)
delta_ext_Fastball,0.00021343029,51,delta (변화량)
delta_ext_Breaking,0.00021234894,52,delta (변화량)
delta_ext_Offspeed,0.00021097143,53,delta (변화량)
delta_pos_x_Fastball,0.00020895158,54,delta (변화량)
delta_pos_x_Breaking,0.00020826206,55,delta (변화량)
delta_pos_x_Offspeed,0.00020486188,56,delta (변화량)
delta_pos_z_Fastball,0.00017457931,57,delta (변화량)
delta_pos_z_Breaking,0.00016953514,58,delta (변화량)
delta_pos_z_Offspeed,0.0,59,delta (변화량)
